id,ADI,CV2,Category
FOODS_2_268_TX_3_validation,9.5,0.25,Intermittent (Ngắt quãng)
FOODS_2_268_WI_1_validation,9.72,0.0,Intermittent (Ngắt quãng)
FOODS_2_268_WI_2_validation,6.12,0.23,Intermittent (Ngắt quãng)
FOODS_2_268_WI_3_validation,6.66,0.0,Intermittent (Ngắt quãng)
FOODS_2_269_CA_1_validation,2.99,0.24,Intermittent (Ngắt quãng)
FOODS_2_269_CA_2_validation,4.24,0.26,Intermittent (Ngắt quãng)
FOODS_2_269_CA_3_validation,3.19,0.26,Intermittent (Ngắt quãng)
FOODS_2_269_CA_4_validation,3.12,0.25,Intermittent (Ngắt quãng)
FOODS_2_269_TX_1_validation,4.25,0.22,Intermittent (Ngắt quãng)
FOODS_2_269_TX_2_validation,4.87,0.24,Intermittent (Ngắt quãng)
FOODS_2_269_TX_3_validation,4.79,0.26,Intermittent (Ngắt quãng)
FOODS_2_269_WI_1_validation,1.94,0.25,Intermittent (Ngắt quãng)
FOODS_2_269_WI_2_validation,2.4,0.26,Intermittent (Ngắt quãng)
FOODS_2_269_WI_3_validation,4.33,0.24,Intermittent (Ngắt quãng)
FOODS_2_270_CA_1_validation,4.07,0.35,Intermittent (Ngắt quãng)
FOODS_2_270_CA_2_validation,4.91,0.5,Lumpy (Cục bộ)
FOODS_2_270_CA_3_validation,3.61,0.27,Intermittent (Ngắt quãng)
FOODS_2_270_CA_4_validation,5.58,0.29,Intermittent (Ngắt quãng)
FOODS_2_270_TX_1_validation,10.03,0.3,Intermittent (Ngắt quãng)
FOODS_2_270_TX_2_validation,10.32,0.28,Intermittent (Ngắt quãng)
FOODS_2_270_TX_3_validation,9.7,0.26,Intermittent (Ngắt quãng)
FOODS_2_270_WI_1_validation,3.35,0.27,Intermittent (Ngắt quãng)
FOODS_2_270_WI_2_validation,4.64,0.53,Lumpy (Cục bộ)
FOODS_2_270_WI_3_validation,8.08,0.3,Intermittent (Ngắt quãng)
FOODS_2_271_CA_1_validation,2.44,0.25,Intermittent (Ngắt quãng)
FOODS_2_271_CA_2_validation,3.67,0.0,Intermittent (Ngắt quãng)
FOODS_2_271_CA_3_validation,2.21,0.25,Intermittent (Ngắt quãng)
FOODS_2_271_CA_4_validation,2.85,0.0,Intermittent (Ngắt quãng)
FOODS_2_271_TX_1_validation,6.31,0.25,Intermittent (Ngắt quãng)
FOODS_2_271_TX_2_validation,6.52,0.0,Intermittent (Ngắt quãng)
FOODS_2_271_TX_3_validation,5.09,0.0,Intermittent (Ngắt quãng)
FOODS_2_271_WI_1_validation,2.29,0.26,Intermittent (Ngắt quãng)
FOODS_2_271_WI_2_validation,5.78,0.0,Intermittent (Ngắt quãng)
FOODS_2_271_WI_3_validation,6.03,0.0,Intermittent (Ngắt quãng)
FOODS_2_272_CA_1_validation,2.91,0.43,Intermittent (Ngắt quãng)
FOODS_2_272_CA_2_validation,2.23,0.4,Intermittent (Ngắt quãng)
FOODS_2_272_CA_3_validation,2.1,0.36,Intermittent (Ngắt quãng)
FOODS_2_272_CA_4_validation,3.35,0.25,Intermittent (Ngắt quãng)
FOODS_2_272_TX_1_validation,2.67,0.23,Intermittent (Ngắt quãng)
FOODS_2_272_TX_2_validation,1.97,0.44,Intermittent (Ngắt quãng)
FOODS_2_272_TX_3_validation,1.99,0.37,Intermittent (Ngắt quãng)
FOODS_2_272_WI_1_validation,1.24,0.35,Smooth (Đều đặn)
FOODS_2_272_WI_2_validation,1.18,0.3,Smooth (Đều đặn)
FOODS_2_272_WI_3_validation,1.36,0.46,Intermittent (Ngắt quãng)
FOODS_2_273_CA_1_validation,3.5,0.27,Intermittent (Ngắt quãng)
FOODS_2_273_CA_2_validation,4.14,0.21,Intermittent (Ngắt quãng)
FOODS_2_273_CA_3_validation,4.63,0.27,Intermittent (Ngắt quãng)
FOODS_2_273_CA_4_validation,3.04,0.27,Intermittent (Ngắt quãng)
FOODS_2_273_TX_1_validation,10.51,0.0,Intermittent (Ngắt quãng)
FOODS_2_273_TX_2_validation,8.28,0.0,Intermittent (Ngắt quãng)
FOODS_2_273_TX_3_validation,10.01,0.22,Intermittent (Ngắt quãng)
FOODS_2_273_WI_1_validation,1.87,0.37,Intermittent (Ngắt quãng)
FOODS_2_273_WI_2_validation,3.63,0.23,Intermittent (Ngắt quãng)
FOODS_2_273_WI_3_validation,6.74,0.16,Intermittent (Ngắt quãng)
FOODS_2_274_CA_1_validation,1.92,0.38,Intermittent (Ngắt quãng)
FOODS_2_274_CA_2_validation,1.29,0.34,Smooth (Đều đặn)
FOODS_2_274_CA_3_validation,1.42,0.47,Intermittent (Ngắt quãng)
FOODS_2_274_CA_4_validation,1.86,0.39,Intermittent (Ngắt quãng)
FOODS_2_274_TX_1_validation,1.71,0.37,Intermittent (Ngắt quãng)
FOODS_2_274_TX_2_validation,1.7,0.45,Intermittent (Ngắt quãng)
FOODS_2_274_TX_3_validation,1.53,0.43,Intermittent (Ngắt quãng)
FOODS_2_274_WI_1_validation,1.56,0.4,Intermittent (Ngắt quãng)
FOODS_2_274_WI_2_validation,1.46,0.38,Intermittent (Ngắt quãng)
FOODS_2_274_WI_3_validation,1.47,0.36,Intermittent (Ngắt quãng)
FOODS_2_275_CA_1_validation,2.93,0.25,Intermittent (Ngắt quãng)
FOODS_2_275_CA_2_validation,1.41,0.43,Intermittent (Ngắt quãng)
FOODS_2_275_CA_3_validation,2.2,0.25,Intermittent (Ngắt quãng)
FOODS_2_275_CA_4_validation,3.23,0.26,Intermittent (Ngắt quãng)
FOODS_2_275_TX_1_validation,4.59,0.25,Intermittent (Ngắt quãng)
FOODS_2_275_TX_2_validation,2.73,0.4,Intermittent (Ngắt quãng)
FOODS_2_275_TX_3_validation,3.03,0.42,Intermittent (Ngắt quãng)
FOODS_2_275_WI_1_validation,1.67,0.37,Intermittent (Ngắt quãng)
FOODS_2_275_WI_2_validation,2.27,0.39,Intermittent (Ngắt quãng)
FOODS_2_275_WI_3_validation,2.0,0.41,Intermittent (Ngắt quãng)
FOODS_2_276_CA_1_validation,1.11,inf,Erratic (Thất thường)
FOODS_2_276_CA_2_validation,1.31,0.31,Smooth (Đều đặn)
FOODS_2_276_CA_3_validation,1.07,inf,Erratic (Thất thường)
FOODS_2_276_CA_4_validation,1.12,0.38,Smooth (Đều đặn)
FOODS_2_276_TX_1_validation,1.11,0.29,Smooth (Đều đặn)
FOODS_2_276_TX_2_validation,1.12,0.28,Smooth (Đều đặn)
FOODS_2_276_TX_3_validation,1.14,0.24,Smooth (Đều đặn)
FOODS_2_276_WI_1_validation,1.14,0.33,Smooth (Đều đặn)
FOODS_2_276_WI_2_validation,1.16,0.4,Smooth (Đều đặn)
FOODS_2_276_WI_3_validation,1.1,0.36,Smooth (Đều đặn)
FOODS_2_277_CA_1_validation,2.93,0.44,Intermittent (Ngắt quãng)
FOODS_2_277_CA_2_validation,2.23,0.34,Intermittent (Ngắt quãng)
FOODS_2_277_CA_3_validation,1.75,0.36,Intermittent (Ngắt quãng)
FOODS_2_277_CA_4_validation,6.15,0.25,Intermittent (Ngắt quãng)
FOODS_2_277_TX_1_validation,4.42,0.26,Intermittent (Ngắt quãng)
FOODS_2_277_TX_2_validation,3.67,0.25,Intermittent (Ngắt quãng)
FOODS_2_277_TX_3_validation,3.14,0.27,Intermittent (Ngắt quãng)
FOODS_2_277_WI_1_validation,4.18,0.26,Intermittent (Ngắt quãng)
FOODS_2_277_WI_2_validation,2.67,0.5,Lumpy (Cục bộ)
FOODS_2_277_WI_3_validation,4.29,0.36,Intermittent (Ngắt quãng)
FOODS_2_278_CA_1_validation,2.43,0.25,Intermittent (Ngắt quãng)
FOODS_2_278_CA_2_validation,1.48,0.39,Intermittent (Ngắt quãng)
FOODS_2_278_CA_3_validation,1.73,0.38,Intermittent (Ngắt quãng)
FOODS_2_278_CA_4_validation,1.98,0.25,Intermittent (Ngắt quãng)
FOODS_2_278_TX_1_validation,3.39,0.25,Intermittent (Ngắt quãng)
FOODS_2_278_TX_2_validation,3.28,0.27,Intermittent (Ngắt quãng)
FOODS_2_278_TX_3_validation,2.23,0.37,Intermittent (Ngắt quãng)
FOODS_2_278_WI_1_validation,1.64,0.46,Intermittent (Ngắt quãng)
FOODS_2_278_WI_2_validation,1.58,0.46,Intermittent (Ngắt quãng)
FOODS_2_278_WI_3_validation,2.19,0.25,Intermittent (Ngắt quãng)
FOODS_2_279_CA_1_validation,1.81,0.39,Intermittent (Ngắt quãng)
FOODS_2_279_CA_2_validation,1.82,0.35,Intermittent (Ngắt quãng)
FOODS_2_279_CA_3_validation,2.01,0.39,Intermittent (Ngắt quãng)
FOODS_2_279_CA_4_validation,1.88,0.39,Intermittent (Ngắt quãng)
FOODS_2_279_TX_1_validation,2.58,0.25,Intermittent (Ngắt quãng)
FOODS_2_279_TX_2_validation,2.67,0.27,Intermittent (Ngắt quãng)
FOODS_2_279_TX_3_validation,1.97,0.38,Intermittent (Ngắt quãng)
FOODS_2_279_WI_1_validation,1.88,0.38,Intermittent (Ngắt quãng)
FOODS_2_279_WI_2_validation,1.57,0.52,Lumpy (Cục bộ)
FOODS_2_279_WI_3_validation,3.12,0.25,Intermittent (Ngắt quãng)
FOODS_2_280_CA_1_validation,4.89,0.22,Intermittent (Ngắt quãng)
FOODS_2_280_CA_2_validation,2.54,0.21,Intermittent (Ngắt quãng)
FOODS_2_280_CA_3_validation,6.94,0.2,Intermittent (Ngắt quãng)
FOODS_2_280_CA_4_validation,7.3,0.0,Intermittent (Ngắt quãng)
FOODS_2_280_TX_1_validation,9.69,0.0,Intermittent (Ngắt quãng)
FOODS_2_280_TX_2_validation,7.9,0.0,Intermittent (Ngắt quãng)
FOODS_2_280_TX_3_validation,10.98,0.0,Intermittent (Ngắt quãng)
FOODS_2_280_WI_1_validation,2.95,0.23,Intermittent (Ngắt quãng)
FOODS_2_280_WI_2_validation,3.55,0.18,Intermittent (Ngắt quãng)
FOODS_2_280_WI_3_validation,7.31,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_CA_1_validation,4.99,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_CA_2_validation,7.72,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_CA_3_validation,4.82,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_CA_4_validation,4.42,0.21,Intermittent (Ngắt quãng)
FOODS_2_281_TX_1_validation,11.51,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_TX_2_validation,6.53,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_TX_3_validation,5.81,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_WI_1_validation,4.75,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_WI_2_validation,5.81,0.0,Intermittent (Ngắt quãng)
FOODS_2_281_WI_3_validation,6.51,0.0,Intermittent (Ngắt quãng)
FOODS_2_282_CA_1_validation,2.05,0.26,Intermittent (Ngắt quãng)
FOODS_2_282_CA_2_validation,2.52,0.47,Intermittent (Ngắt quãng)
FOODS_2_282_CA_3_validation,1.48,0.38,Intermittent (Ngắt quãng)
FOODS_2_282_CA_4_validation,2.75,0.23,Intermittent (Ngắt quãng)
FOODS_2_282_TX_1_validation,1.94,0.27,Intermittent (Ngắt quãng)
FOODS_2_282_TX_2_validation,1.98,0.26,Intermittent (Ngắt quãng)
FOODS_2_282_TX_3_validation,2.28,0.26,Intermittent (Ngắt quãng)
FOODS_2_282_WI_1_validation,1.39,0.39,Intermittent (Ngắt quãng)
FOODS_2_282_WI_2_validation,1.34,0.44,Intermittent (Ngắt quãng)
FOODS_2_282_WI_3_validation,1.65,0.42,Intermittent (Ngắt quãng)
FOODS_2_283_CA_1_validation,1.34,0.52,Lumpy (Cục bộ)
FOODS_2_283_CA_2_validation,3.07,0.36,Intermittent (Ngắt quãng)
FOODS_2_283_CA_3_validation,1.41,0.46,Intermittent (Ngắt quãng)
FOODS_2_283_CA_4_validation,1.63,0.47,Intermittent (Ngắt quãng)
FOODS_2_283_TX_1_validation,3.9,0.51,Lumpy (Cục bộ)
FOODS_2_283_TX_2_validation,2.22,0.43,Intermittent (Ngắt quãng)
FOODS_2_283_TX_3_validation,3.81,0.41,Intermittent (Ngắt quãng)
FOODS_2_283_WI_1_validation,1.45,0.47,Intermittent (Ngắt quãng)
FOODS_2_283_WI_2_validation,2.02,0.48,Intermittent (Ngắt quãng)
FOODS_2_283_WI_3_validation,1.67,0.38,Intermittent (Ngắt quãng)
FOODS_2_284_CA_1_validation,4.5,0.24,Intermittent (Ngắt quãng)
FOODS_2_284_CA_2_validation,3.73,0.25,Intermittent (Ngắt quãng)
FOODS_2_284_CA_3_validation,2.48,0.26,Intermittent (Ngắt quãng)
FOODS_2_284_CA_4_validation,3.98,0.24,Intermittent (Ngắt quãng)
FOODS_2_284_TX_1_validation,4.44,0.26,Intermittent (Ngắt quãng)
FOODS_2_284_TX_2_validation,2.59,0.25,Intermittent (Ngắt quãng)
FOODS_2_284_TX_3_validation,3.53,0.22,Intermittent (Ngắt quãng)
FOODS_2_284_WI_1_validation,2.73,0.26,Intermittent (Ngắt quãng)
FOODS_2_284_WI_2_validation,3.87,0.25,Intermittent (Ngắt quãng)
FOODS_2_284_WI_3_validation,2.08,0.44,Intermittent (Ngắt quãng)
FOODS_2_285_CA_1_validation,1.93,0.38,Intermittent (Ngắt quãng)
FOODS_2_285_CA_2_validation,1.22,0.4,Smooth (Đều đặn)
FOODS_2_285_CA_3_validation,1.33,0.34,Intermittent (Ngắt quãng)
FOODS_2_285_CA_4_validation,2.43,0.23,Intermittent (Ngắt quãng)
FOODS_2_285_TX_1_validation,1.14,0.47,Smooth (Đều đặn)
FOODS_2_285_TX_2_validation,1.27,0.45,Smooth (Đều đặn)
FOODS_2_285_TX_3_validation,1.17,0.33,Smooth (Đều đặn)
FOODS_2_285_WI_1_validation,2.62,0.25,Intermittent (Ngắt quãng)
FOODS_2_285_WI_2_validation,1.26,0.54,Erratic (Thất thường)
FOODS_2_285_WI_3_validation,1.55,0.61,Lumpy (Cục bộ)
FOODS_2_286_CA_1_validation,2.18,0.25,Intermittent (Ngắt quãng)
FOODS_2_286_CA_2_validation,1.3,0.35,Smooth (Đều đặn)
FOODS_2_286_CA_3_validation,1.38,0.44,Intermittent (Ngắt quãng)
FOODS_2_286_CA_4_validation,2.03,0.24,Intermittent (Ngắt quãng)
FOODS_2_286_TX_1_validation,1.14,0.4,Smooth (Đều đặn)
FOODS_2_286_TX_2_validation,1.34,0.44,Intermittent (Ngắt quãng)
FOODS_2_286_TX_3_validation,1.1,0.33,Smooth (Đều đặn)
FOODS_2_286_WI_1_validation,1.7,0.36,Intermittent (Ngắt quãng)
FOODS_2_286_WI_2_validation,1.72,0.41,Intermittent (Ngắt quãng)
FOODS_2_286_WI_3_validation,1.68,0.43,Intermittent (Ngắt quãng)
FOODS_2_287_CA_1_validation,4.42,0.25,Intermittent (Ngắt quãng)
FOODS_2_287_CA_2_validation,3.01,0.25,Intermittent (Ngắt quãng)
FOODS_2_287_CA_3_validation,3.82,0.27,Intermittent (Ngắt quãng)
FOODS_2_287_CA_4_validation,4.25,0.25,Intermittent (Ngắt quãng)
FOODS_2_287_TX_1_validation,4.82,0.23,Intermittent (Ngắt quãng)
FOODS_2_287_TX_2_validation,4.89,0.22,Intermittent (Ngắt quãng)
FOODS_2_287_TX_3_validation,4.5,0.24,Intermittent (Ngắt quãng)
FOODS_2_287_WI_1_validation,2.56,0.26,Intermittent (Ngắt quãng)
FOODS_2_287_WI_2_validation,4.35,0.23,Intermittent (Ngắt quãng)
FOODS_2_287_WI_3_validation,4.86,0.28,Intermittent (Ngắt quãng)
FOODS_2_288_CA_1_validation,2.56,0.25,Intermittent (Ngắt quãng)
FOODS_2_288_CA_2_validation,1.96,0.38,Intermittent (Ngắt quãng)
FOODS_2_288_CA_3_validation,2.24,0.4,Intermittent (Ngắt quãng)
FOODS_2_288_CA_4_validation,2.71,0.25,Intermittent (Ngắt quãng)
FOODS_2_288_TX_1_validation,5.1,0.27,Intermittent (Ngắt quãng)
FOODS_2_288_TX_2_validation,4.83,0.26,Intermittent (Ngắt quãng)
FOODS_2_288_TX_3_validation,3.52,0.27,Intermittent (Ngắt quãng)
FOODS_2_288_WI_1_validation,2.63,0.45,Intermittent (Ngắt quãng)
FOODS_2_288_WI_2_validation,2.2,0.39,Intermittent (Ngắt quãng)
FOODS_2_288_WI_3_validation,2.84,0.43,Intermittent (Ngắt quãng)
FOODS_2_289_CA_1_validation,1.91,0.36,Intermittent (Ngắt quãng)
FOODS_2_289_CA_2_validation,4.05,0.42,Intermittent (Ngắt quãng)
FOODS_2_289_CA_3_validation,1.39,0.38,Intermittent (Ngắt quãng)
FOODS_2_289_CA_4_validation,1.96,0.35,Intermittent (Ngắt quãng)
FOODS_2_289_TX_1_validation,1.84,0.42,Intermittent (Ngắt quãng)
FOODS_2_289_TX_2_validation,1.89,0.38,Intermittent (Ngắt quãng)
FOODS_2_289_TX_3_validation,1.64,0.35,Intermittent (Ngắt quãng)
FOODS_2_289_WI_1_validation,1.59,0.33,Intermittent (Ngắt quãng)
FOODS_2_289_WI_2_validation,1.47,0.41,Intermittent (Ngắt quãng)
FOODS_2_289_WI_3_validation,2.01,0.37,Intermittent (Ngắt quãng)
FOODS_2_290_CA_1_validation,2.44,0.45,Intermittent (Ngắt quãng)
FOODS_2_290_CA_2_validation,1.82,0.38,Intermittent (Ngắt quãng)
FOODS_2_290_CA_3_validation,2.12,0.38,Intermittent (Ngắt quãng)
FOODS_2_290_CA_4_validation,3.25,0.27,Intermittent (Ngắt quãng)
FOODS_2_290_TX_1_validation,2.41,0.34,Intermittent (Ngắt quãng)
FOODS_2_290_TX_2_validation,2.81,0.24,Intermittent (Ngắt quãng)
FOODS_2_290_TX_3_validation,2.2,0.34,Intermittent (Ngắt quãng)
FOODS_2_290_WI_1_validation,1.77,0.45,Intermittent (Ngắt quãng)
FOODS_2_290_WI_2_validation,1.71,0.42,Intermittent (Ngắt quãng)
FOODS_2_290_WI_3_validation,2.42,0.27,Intermittent (Ngắt quãng)
FOODS_2_291_CA_1_validation,2.51,0.25,Intermittent (Ngắt quãng)
FOODS_2_291_CA_2_validation,2.06,0.38,Intermittent (Ngắt quãng)
FOODS_2_291_CA_3_validation,1.76,0.46,Intermittent (Ngắt quãng)
FOODS_2_291_CA_4_validation,2.62,0.25,Intermittent (Ngắt quãng)
FOODS_2_291_TX_1_validation,2.12,0.39,Intermittent (Ngắt quãng)
FOODS_2_291_TX_2_validation,2.01,0.44,Intermittent (Ngắt quãng)
FOODS_2_291_TX_3_validation,1.52,0.34,Intermittent (Ngắt quãng)
FOODS_2_291_WI_1_validation,1.63,0.36,Intermittent (Ngắt quãng)
FOODS_2_291_WI_2_validation,1.62,0.43,Intermittent (Ngắt quãng)
FOODS_2_291_WI_3_validation,1.85,0.58,Lumpy (Cục bộ)
FOODS_2_292_CA_1_validation,3.09,0.23,Intermittent (Ngắt quãng)
FOODS_2_292_CA_2_validation,3.04,0.22,Intermittent (Ngắt quãng)
FOODS_2_292_CA_3_validation,1.67,0.3,Intermittent (Ngắt quãng)
FOODS_2_292_CA_4_validation,3.34,0.19,Intermittent (Ngắt quãng)
FOODS_2_292_TX_1_validation,1.25,0.33,Smooth (Đều đặn)
FOODS_2_292_TX_2_validation,1.69,0.39,Intermittent (Ngắt quãng)
FOODS_2_292_TX_3_validation,1.7,0.22,Intermittent (Ngắt quãng)
FOODS_2_292_WI_1_validation,2.98,0.2,Intermittent (Ngắt quãng)
FOODS_2_292_WI_2_validation,2.32,0.27,Intermittent (Ngắt quãng)
FOODS_2_292_WI_3_validation,2.01,0.25,Intermittent (Ngắt quãng)
FOODS_2_293_CA_1_validation,1.08,0.32,Smooth (Đều đặn)
FOODS_2_293_CA_2_validation,1.12,0.33,Smooth (Đều đặn)
FOODS_2_293_CA_3_validation,1.05,0.24,Smooth (Đều đặn)
FOODS_2_293_CA_4_validation,1.08,0.32,Smooth (Đều đặn)
FOODS_2_293_TX_1_validation,1.47,0.24,Intermittent (Ngắt quãng)
FOODS_2_293_TX_2_validation,1.21,0.32,Smooth (Đều đặn)
FOODS_2_293_TX_3_validation,1.27,0.33,Smooth (Đều đặn)
FOODS_2_293_WI_1_validation,1.22,0.37,Smooth (Đều đặn)
FOODS_2_293_WI_2_validation,1.18,0.36,Smooth (Đều đặn)
FOODS_2_293_WI_3_validation,1.25,0.42,Smooth (Đều đặn)
FOODS_2_294_CA_1_validation,1.74,0.39,Intermittent (Ngắt quãng)
FOODS_2_294_CA_2_validation,1.66,0.4,Intermittent (Ngắt quãng)
FOODS_2_294_CA_3_validation,1.41,0.46,Intermittent (Ngắt quãng)
FOODS_2_294_CA_4_validation,1.73,0.42,Intermittent (Ngắt quãng)
FOODS_2_294_TX_1_validation,1.69,0.44,Intermittent (Ngắt quãng)
FOODS_2_294_TX_2_validation,1.44,0.4,Intermittent (Ngắt quãng)
FOODS_2_294_TX_3_validation,1.66,0.56,Lumpy (Cục bộ)
FOODS_2_294_WI_1_validation,1.71,0.57,Lumpy (Cục bộ)
FOODS_2_294_WI_2_validation,1.96,0.41,Intermittent (Ngắt quãng)
FOODS_2_294_WI_3_validation,2.18,0.47,Intermittent (Ngắt quãng)
FOODS_2_295_CA_1_validation,3.52,0.26,Intermittent (Ngắt quãng)
FOODS_2_295_CA_2_validation,3.81,0.05,Intermittent (Ngắt quãng)
FOODS_2_295_CA_3_validation,3.11,0.25,Intermittent (Ngắt quãng)
FOODS_2_295_CA_4_validation,4.46,0.22,Intermittent (Ngắt quãng)
FOODS_2_295_TX_1_validation,3.17,0.25,Intermittent (Ngắt quãng)
FOODS_2_295_TX_2_validation,2.16,0.26,Intermittent (Ngắt quãng)
FOODS_2_295_TX_3_validation,2.18,0.28,Intermittent (Ngắt quãng)
FOODS_2_295_WI_1_validation,5.23,0.0,Intermittent (Ngắt quãng)
FOODS_2_295_WI_2_validation,3.76,0.26,Intermittent (Ngắt quãng)
FOODS_2_295_WI_3_validation,7.68,0.2,Intermittent (Ngắt quãng)
FOODS_2_296_CA_1_validation,3.02,0.21,Intermittent (Ngắt quãng)
FOODS_2_296_CA_2_validation,3.59,0.0,Intermittent (Ngắt quãng)
FOODS_2_296_CA_3_validation,1.59,0.38,Intermittent (Ngắt quãng)
FOODS_2_296_CA_4_validation,3.46,0.0,Intermittent (Ngắt quãng)
FOODS_2_296_TX_1_validation,3.84,0.25,Intermittent (Ngắt quãng)
FOODS_2_296_TX_2_validation,2.43,0.27,Intermittent (Ngắt quãng)
FOODS_2_296_TX_3_validation,2.19,0.25,Intermittent (Ngắt quãng)
FOODS_2_296_WI_1_validation,2.38,0.25,Intermittent (Ngắt quãng)
FOODS_2_296_WI_2_validation,2.13,0.25,Intermittent (Ngắt quãng)
FOODS_2_296_WI_3_validation,3.5,0.24,Intermittent (Ngắt quãng)
FOODS_2_297_CA_1_validation,2.48,0.26,Intermittent (Ngắt quãng)
FOODS_2_297_CA_2_validation,4.67,0.25,Intermittent (Ngắt quãng)
FOODS_2_297_CA_3_validation,2.12,0.38,Intermittent (Ngắt quãng)
FOODS_2_297_CA_4_validation,3.23,0.25,Intermittent (Ngắt quãng)
FOODS_2_297_TX_1_validation,2.69,0.24,Intermittent (Ngắt quãng)
FOODS_2_297_TX_2_validation,1.93,0.39,Intermittent (Ngắt quãng)
FOODS_2_297_TX_3_validation,2.3,0.4,Intermittent (Ngắt quãng)
FOODS_2_297_WI_1_validation,1.78,0.41,Intermittent (Ngắt quãng)
FOODS_2_297_WI_2_validation,1.61,0.44,Intermittent (Ngắt quãng)
FOODS_2_297_WI_3_validation,1.64,0.42,Intermittent (Ngắt quãng)
FOODS_2_298_CA_1_validation,5.18,0.21,Intermittent (Ngắt quãng)
FOODS_2_298_CA_2_validation,4.26,0.0,Intermittent (Ngắt quãng)
FOODS_2_298_CA_3_validation,4.15,0.24,Intermittent (Ngắt quãng)
FOODS_2_298_CA_4_validation,6.67,0.0,Intermittent (Ngắt quãng)
FOODS_2_298_TX_1_validation,4.71,0.0,Intermittent (Ngắt quãng)
FOODS_2_298_TX_2_validation,2.63,0.23,Intermittent (Ngắt quãng)
FOODS_2_298_TX_3_validation,3.02,0.24,Intermittent (Ngắt quãng)
FOODS_2_298_WI_1_validation,8.88,0.0,Intermittent (Ngắt quãng)
FOODS_2_298_WI_2_validation,7.64,0.0,Intermittent (Ngắt quãng)
FOODS_2_298_WI_3_validation,7.09,0.23,Intermittent (Ngắt quãng)
FOODS_2_299_CA_1_validation,1.13,0.35,Smooth (Đều đặn)
FOODS_2_299_CA_2_validation,1.48,0.37,Intermittent (Ngắt quãng)
FOODS_2_299_CA_3_validation,1.08,0.29,Smooth (Đều đặn)
FOODS_2_299_CA_4_validation,1.16,0.37,Smooth (Đều đặn)
FOODS_2_299_TX_1_validation,1.85,0.26,Intermittent (Ngắt quãng)
FOODS_2_299_TX_2_validation,1.46,0.39,Intermittent (Ngắt quãng)
FOODS_2_299_TX_3_validation,1.84,0.25,Intermittent (Ngắt quãng)
FOODS_2_299_WI_1_validation,7.49,0.49,Intermittent (Ngắt quãng)
FOODS_2_299_WI_2_validation,8.48,0.37,Intermittent (Ngắt quãng)
FOODS_2_299_WI_3_validation,3.77,0.37,Intermittent (Ngắt quãng)
FOODS_2_300_CA_1_validation,5.47,0.22,Intermittent (Ngắt quãng)
FOODS_2_300_CA_2_validation,6.72,0.0,Intermittent (Ngắt quãng)
FOODS_2_300_CA_3_validation,4.9,0.0,Intermittent (Ngắt quãng)
FOODS_2_300_CA_4_validation,9.24,0.0,Intermittent (Ngắt quãng)
FOODS_2_300_TX_1_validation,6.12,0.2,Intermittent (Ngắt quãng)
FOODS_2_300_TX_2_validation,4.2,0.25,Intermittent (Ngắt quãng)
FOODS_2_300_TX_3_validation,4.69,0.23,Intermittent (Ngắt quãng)
FOODS_2_300_WI_1_validation,7.76,0.0,Intermittent (Ngắt quãng)
FOODS_2_300_WI_2_validation,3.5,0.4,Intermittent (Ngắt quãng)
FOODS_2_300_WI_3_validation,6.52,0.21,Intermittent (Ngắt quãng)
FOODS_2_301_CA_1_validation,1.91,0.27,Intermittent (Ngắt quãng)
FOODS_2_301_CA_2_validation,6.0,0.21,Intermittent (Ngắt quãng)
FOODS_2_301_CA_3_validation,1.71,0.33,Intermittent (Ngắt quãng)
FOODS_2_301_CA_4_validation,3.16,0.24,Intermittent (Ngắt quãng)
FOODS_2_301_TX_1_validation,1.7,0.37,Intermittent (Ngắt quãng)
FOODS_2_301_TX_2_validation,3.87,0.38,Intermittent (Ngắt quãng)
FOODS_2_301_TX_3_validation,1.79,0.38,Intermittent (Ngắt quãng)
FOODS_2_301_WI_1_validation,1.54,0.36,Intermittent (Ngắt quãng)
FOODS_2_301_WI_2_validation,1.31,0.45,Smooth (Đều đặn)
FOODS_2_301_WI_3_validation,2.05,0.41,Intermittent (Ngắt quãng)
FOODS_2_302_CA_1_validation,4.22,0.25,Intermittent (Ngắt quãng)
FOODS_2_302_CA_2_validation,1.61,0.39,Intermittent (Ngắt quãng)
FOODS_2_302_CA_3_validation,2.64,0.43,Intermittent (Ngắt quãng)
FOODS_2_302_CA_4_validation,5.6,0.0,Intermittent (Ngắt quãng)
FOODS_2_302_TX_1_validation,3.32,0.25,Intermittent (Ngắt quãng)
FOODS_2_302_TX_2_validation,2.94,0.25,Intermittent (Ngắt quãng)
FOODS_2_302_TX_3_validation,3.56,0.26,Intermittent (Ngắt quãng)
FOODS_2_302_WI_1_validation,5.64,0.26,Intermittent (Ngắt quãng)
FOODS_2_302_WI_2_validation,4.56,0.63,Lumpy (Cục bộ)
FOODS_2_302_WI_3_validation,3.6,0.48,Intermittent (Ngắt quãng)
